string, status, running, kill_reason, return_code
X86_MESI_Two_Level run_exit vmlinux-4.14.134 boot-exit.img simple MESI_Two_Level 1 init,Finished,False,,0
X86_MESI_Two_Level run_exit vmlinux-4.14.134 boot-exit.img simple MESI_Two_Level 1 systemd,Finished,False,,0
X86 run_exit vmlinux-4.14.134 boot-exit.img simple classic 1 systemd,Running,True,,0
X86 run_exit vmlinux-4.14.134 boot-exit.img simple classic 1 init,Finished,False,,0
X86_MOESI_CMP_directory run_exit vmlinux-4.14.134 boot-exit.img simple MOESI_CMP_directory 1 init,Finished,False,,0
X86_MOESI_CMP_directory run_exit vmlinux-4.14.134 boot-exit.img simple MOESI_CMP_directory 1 systemd,Finished,False,,0
X86_MI_example run_exit vmlinux-4.14.134 boot-exit.img o3 MI_example 1 init,Failed,False,kernel panic,-9
X86_MI_example run_exit vmlinux-4.14.134 boot-exit.img o3 MI_example 1 systemd,Failed,False,kernel panic,-9
X86_MESI_Two_Level run_exit vmlinux-4.14.134 boot-exit.img o3 MESI_Two_Level 1 init,Failed,False,kernel panic,-9
X86_MESI_Two_Level run_exit vmlinux-4.14.134 boot-exit.img o3 MESI_Two_Level 1 systemd,Failed,False,kernel panic,-9
X86 run_exit vmlinux-4.14.134 boot-exit.img o3 classic 1 systemd,Failed,False,kernel panic,-9
X86 run_exit vmlinux-4.14.134 boot-exit.img o3 classic 1 init,Failed,False,kernel panic,-9
X86_MOESI_CMP_directory run_exit vmlinux-4.14.134 boot-exit.img o3 MOESI_CMP_directory 2 init,Failed,False,kernel panic,-9
X86_MOESI_CMP_directory run_exit vmlinux-4.14.134 boot-exit.img o3 MOESI_CMP_directory 2 systemd,Failed,False,kernel panic,-9
X86_MI_example run_exit vmlinux-4.14.134 boot-exit.img o3 MI_example 2 systemd,Failed,False,kernel panic,-9
X86_MI_example run_exit vmlinux-4.14.134 boot-exit.img o3 MI_example 2 init,Failed,False,kernel panic,-9
X86_MESI_Two_Level run_exit vmlinux-4.14.134 boot-exit.img o3 MESI_Two_Level 2 init,Running,True,,0
X86_MOESI_CMP_directory run_exit vmlinux-4.14.134 boot-exit.img o3 MOESI_CMP_directory 8 init,Failed,False,kernel panic,-9
X86_MOESI_CMP_directory run_exit vmlinux-4.14.134 boot-exit.img o3 MOESI_CMP_directory 8 systemd,Failed,False,kernel panic,-9
X86_MESI_Two_Level run_exit vmlinux-4.14.134 boot-exit.img o3 MESI_Two_Level 8 systemd,Running,True,,0
X86_MESI_Two_Level run_exit vmlinux-4.14.134 boot-exit.img o3 MESI_Two_Level 8 init,Running,True,,0
X86_MI_example run_exit vmlinux-4.14.134 boot-exit.img o3 MI_example 8 init,Failed,False,kernel panic,-9
X86_MI_example run_exit vmlinux-4.14.134 boot-exit.img o3 MI_example 8 systemd,Failed,False,kernel panic,-9
X86_MOESI_CMP_directory run_exit vmlinux-4.14.134 boot-exit.img o3 MOESI_CMP_directory 4 systemd,Failed,False,kernel panic,-9
X86_MOESI_CMP_directory run_exit vmlinux-4.14.134 boot-exit.img o3 MOESI_CMP_directory 4 init,Failed,False,kernel panic,-9
X86_MESI_Two_Level run_exit vmlinux-4.14.134 boot-exit.img o3 MESI_Two_Level 4 systemd,Failed,False,kernel panic,-9
X86_MESI_Two_Level run_exit vmlinux-4.14.134 boot-exit.img o3 MESI_Two_Level 4 init,Failed,False,kernel panic,-9
X86_MI_example run_exit vmlinux-4.14.134 boot-exit.img o3 MI_example 4 init,Running,True,,0
X86_MOESI_CMP_directory run_exit vmlinux-4.4.186 boot-exit.img simple MOESI_CMP_directory 4 init,Finished,False,,0
X86_MOESI_CMP_directory run_exit vmlinux-4.4.186 boot-exit.img simple MOESI_CMP_directory 4 systemd,Running,True,,0
X86 run_exit vmlinux-4.4.186 boot-exit.img simple classic 4 systemd,Running,True,,0
X86_MESI_Two_Level run_exit vmlinux-4.4.186 boot-exit.img simple MESI_Two_Level 4 init,Finished,False,,0
X86_MESI_Two_Level run_exit vmlinux-4.4.186 boot-exit.img simple MESI_Two_Level 4 systemd,Finished,False,,0
X86_MI_example run_exit vmlinux-4.4.186 boot-exit.img simple MI_example 4 init,Finished,False,,0
X86_MI_example run_exit vmlinux-4.4.186 boot-exit.img simple MI_example 4 systemd,Finished,False,,0
X86_MI_example run_exit vmlinux-4.4.186 boot-exit.img simple MI_example 8 systemd,Running,True,,0
X86_MI_example run_exit vmlinux-4.4.186 boot-exit.img simple MI_example 8 init,Finished,False,,0
X86_MESI_Two_Level run_exit vmlinux-4.4.186 boot-exit.img simple MESI_Two_Level 8 systemd,Running,True,,0
X86_MESI_Two_Level run_exit vmlinux-4.4.186 boot-exit.img simple MESI_Two_Level 8 init,Finished,False,,0
X86_MOESI_CMP_directory run_exit vmlinux-4.4.186 boot-exit.img simple MOESI_CMP_directory 8 systemd,Running,True,,0
X86_MOESI_CMP_directory run_exit vmlinux-4.4.186 boot-exit.img simple MOESI_CMP_directory 8 init,Finished,False,,0
X86_MOESI_CMP_directory run_exit vmlinux-4.4.186 boot-exit.img simple MOESI_CMP_directory 2 systemd,Running,True,,0
X86_MOESI_CMP_directory run_exit vmlinux-4.4.186 boot-exit.img simple MOESI_CMP_directory 2 init,Finished,False,,0
